Timestamp,Street,Event,Details
2025-10-12T18:41:29.092585,,Session Start,Corrections log recreated after deletion or fresh start.
2025-10-12T18:41:29.094042,,Other LINZ No CSV,No CSV files found in: Street Database\Other
2025-10-12T18:41:29.129134,,Majority Suburb,Detected: Papakura
2025-10-12T18:41:29.688133,,LINZ Miss,"Railway Street West, Papakura, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T18:41:29.689192,,Geocode Fallback,"LINZ failed for Railway Street West, Papakura, Auckland"
2025-10-12T18:41:34.459473,,Geocode Variant Used,geocode.xyz used: Original
2025-10-12T18:41:34.461240,,Geocode Success,"geocode.xyz: Street West, Papakura → lat:-37.06676, lon:174.93896"
2025-10-12T18:41:34.461240,,Geocode Source,"geocode.xyz returned: ('Street West, Papakura, Auckland', -37.06676, 174.93896, '') for input: Street West, Papakura"
2025-10-12T18:41:35.418619,,LINZ Miss,"Waterview Road East, Papakura, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T18:41:35.419935,,Geocode Fallback,"LINZ failed for Waterview Road East, Papakura, Auckland"
2025-10-12T18:41:36.377947,,Geocode Variant Used,geocode.xyz used: Original
2025-10-12T18:41:36.379416,,Geocode Success,"geocode.xyz: Road East, Papakura → lat:-37.06765, lon:174.94224"
2025-10-12T18:41:36.380423,,Geocode Source,"geocode.xyz returned: ('Road East, Papakura, Auckland', -37.06765, 174.94224, '') for input: Road East, Papakura"
2025-10-12T18:41:37.334976,,LINZ Miss,"Tironui Station Road East, Takanini, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T18:41:37.335983,,Geocode Fallback,"LINZ failed for Tironui Station Road East, Takanini, Auckland"
2025-10-12T18:41:38.406677,,Geocode Variant Used,geocode.xyz used: Original
2025-10-12T18:41:38.407891,,Geocode Success,"geocode.xyz: Station Road East, Takanini → lat:-37.04091, lon:174.9201"
2025-10-12T18:41:38.408898,,Geocode Source,"geocode.xyz returned: ('Station Road East, Takanini, Auckland', -37.04091, 174.9201, '') for input: Station Road East, Takanini"
2025-10-12T18:41:39.122657,,Other LINZ No CSV,No CSV files found in: Street Database\Other
2025-10-12T18:41:39.123654,,LINZ Memory Purge,Cleanup failed (ignored)
2025-10-12T18:41:39.125000,,Info,...message text...
2025-10-12T18:41:39.126008,,Info,...message text...
2025-10-12T18:41:39.128038,,Batch Geocoding Start,Starting With 0 Addresses
2025-10-12T18:41:39.129214,,Batch Geocoding Completed,0 address results retrieved
2025-10-12T18:41:39.132556,,Street Fail," Whangamaru Way, Pahurehure, Auckland → Missing number and/or street"
2025-10-12T18:41:39.134062,,Street Fail," Albert Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.136074,,Street Fail," Albion Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.137095,,Street Fail," Alf Walker Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.138099,,Street Fail," Brynbela Court, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.140114,,Street Fail," Alma Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.142129,,Street Fail," Alpha Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.144726,,Street Fail," Ancroft Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.145836,,Street Fail," Arahopu Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.146882,,Street Fail," Aramata Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.147889,,Street Fail," Arapapa Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.148896,,Street Fail," Arawa Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.150948,,Street Fail," Arawa Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.151955,,Street Fail," Arimu Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.153462,,Street Fail," Artillery Drive, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.154544,,Street Fail," Artistry Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.155549,,Street Fail," Bates Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.156555,,Street Fail," Beardmore Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.157578,,Street Fail," Bei Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.158581,,Street Fail," Belgrave Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.159588,,Street Fail," Bellbird Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.160601,,Street Fail," Bhangal Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.162051,,Street Fail," Bravery Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.163559,,Street Fail," Brightwell Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.164636,,Street Fail," Alliance Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.165661,,Street Fail," Bunnythorpe Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.166704,,Street Fail," Busing Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.168717,,Street Fail," Calvert Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.169723,,Street Fail," Campbell Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.170730,,Street Fail," Captain Rings Drive, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.171736,,Street Fail," Cargill Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.173243,,Street Fail," Chapel Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.174319,,Street Fail," Charles Henry Way, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.175379,,Street Fail," Clayden Shuttleworth Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.176386,,Street Fail," Clevedon Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.177893,,Street Fail," Coles Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.178930,,Street Fail," Combat Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.180983,,Street Fail," Command Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.181989,,Street Fail," Cooper Place, Papakura, Auckland → Missing number and/or street"
