Old Number,Unit,Old Street,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Status,Final Status,Latitude,Longitude,Type,Language,Notes,Other Notes,Missing Fields
43,,"Bronwylian Drive, Flat Bush",,43,Bronwylian Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9521689,174.9154796,House,,,,
59,,"Wayne Francis Drive, Flat Bush",,59,Wayne Francis Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9484374,174.9088144,House,Cantonese,,,
21,,"Maybole Drive, Flat Bush",,21,Maybole Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9507729,174.9163454,House,,,,
15,,"Maybole Drive, Flat Bush",,15,Maybole Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9507533,174.9157091,House,,,,
11,,"Maybole Drive, Flat Bush",,11,Maybole Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.95080592,174.9153127,House,,,,
18,,"Ainwick Road, Flat Bush",,18,Ainwick Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9532756,174.9177494,House,,,,
124,,"Gracechurch Drive, Flat Bush",,124,Gracechurch Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9497742,174.9141974,House,,,,
118,A,"Gracechurch Drive, Flat Bush",,118/UnitA,Gracechurch Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.950097,174.9147854,House,,,,
88,,"Browns Lane, Flat Bush",,88,Browns Lane,Flat Bush,2016,Auckland,At Home,Pass,-36.9492714,174.9196261,House,,,,
93,,"Browns Lane, Flat Bush",,93,Browns Lane,Flat Bush,2016,Auckland,At Home,Pass,-36.9487362,174.9220661,House,,,,
42,,"Kouka Road, Beachlands",,42,Kouka Road,Beachlands,2018,Auckland,At Home,Pass,-36.8901676,175.010235,House,,,,
17,,Kaikape Lane Flat Bush 2016,,17,Kaikape Lane Flat Bush,Flat Bush,2016,Auckland,At Home,Pass,-36.9729594,174.9084326,House,Cantonese,,,
1,,"Kaikape Lane, Flat Bush",,1,Kaikape Lane,Flat Bush,2016,Auckland,At Home,Pass,-36.9732455,174.9082843,House,,,,
10,,"Quattro Avenue, Flat Bush",,10,Quattro Avenue,Flat Bush,2016,Auckland,At Home,Pass,-36.9743136,174.9065111,House,,,,
10,,"Papa Takaro Lane, Flat Bush",,10,Papa Takaro Lane,Flat Bush,2016,Auckland,At Home,Pass,-36.9729662,174.9077016,House,,,,
6,,"Papa Takaro Lane, Flat Bush",,6,Papa Takaro Lane,Flat Bush,2016,Auckland,At Home,Pass,-36.9730494,174.9076741,House,,,,
45,,"Broadhurst Road, Flat Bush",,45,Broadhurst Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9754688,174.9082752,House,,,,
60,,"Donegal Park Drive, Flat Bush",,60,Donegal Park Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9754101,174.90791,House,,,,
10,,"Brookview Drive, Flat Bush",,10,Brookview Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9729389,174.9129167,House,,,,
43,,"Broadhurst Road, Flat Bush",,43,Broadhurst Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9753296,174.9074872,House,,,,
19,,"Ksenia Drive, Flat Bush",,19,Ksenia Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.976412,174.9059877,House,,,,
416,,"Chapel Road, Dannemora",,416,Chapel Road,Dannemora,2016,Auckland,At Home,Pass,-36.9507812,174.9101035,House,,,,
54,,"Malahide Drive, Flat Bush",,54,Malahide Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9615001,174.9182863,House,,,,
140,,"Eighth View Avenue, Beachlands",,140,Eighth View Avenue,Beachlands,2018,Auckland,At Home,Pass,-36.8918819,175.0097877,House,,,,
753,,"Chapel Road, Dannemora",,753,Chapel Road,Dannemora,2016,Auckland,At Home,Pass,-36.9243135,174.9218248,House,,"White Gate,",,
22,,"Walter Haddrell Crescent, Flat Bush",,22,Walter Haddrell Crescent,Flat Bush,2016,Auckland,At Home,Pass,-36.950192,174.9079286,House,,Under renovation,,
92,,"Wayne Francis Drive, Flat Bush",,92,Wayne Francis Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9521216,174.9080559,House,,,,
4,,"Schoombie Drive, Flat Bush",,4,Schoombie Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9629701,174.9207137,House,,,,
47,,"Coachman Drive, Flat Bush",,47,Coachman Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9554058,174.9214113,House,,,,
4,,"Shelby Lane, Flat Bush",,4,Shelby Lane,Flat Bush,2016,Auckland,At Home,Pass,-36.956445,174.9205566,House,,,,
1,,"Montecito Place, Golflands",,1,Montecito Place,Golflands,2013,Auckland,At Home,Pass,-36.9252651,174.9114169,House,,,,
8,B,"Emma Court, Northpark",,8/UnitB,Emma Court,Northpark,2013,Auckland,At Home,Pass,-36.9150532,174.9202474,House,,Chinese moving in halfway through 2026,,
62,,"Millhouse Drive, Northpark",,62,Millhouse Drive,Northpark,2013,Auckland,At Home,Pass,-36.9154181,174.9209962,House,,,,
52,4,"Millhouse Drive, Northpark",,52/Unit4,Millhouse Drive,Northpark,2013,Auckland,At Home,Pass,-36.9148222,174.9223419,House,,,,
17,,"Gwenand Place, Botany Downs",,17,Gwenand Place,Botany Downs,2010,Auckland,At Home,Pass,-36.9074864,174.9095133,House,,,,
16,,"Summermist Drive, Northpark",,16,Summermist Drive,Northpark,2013,Auckland,At Home,Pass,-36.9166724,174.9235779,House,,,,
18,,"Mataoho Lane, Mangere East",,18,Mataoho Lane,Mangere East,2024,Auckland,At Home,Pass,-36.9631471,174.8240181,House,,,,
18,,"Orohena Close, Northpark",,18,Orohena Close,Northpark,2013,Auckland,At Home,Pass,-36.9185582,174.9197706,House,,,,
29,,"Kilimanjaro Drive, Northpark",,29,Kilimanjaro Drive,Northpark,2013,Auckland,At Home,Pass,-36.9215193,174.9201346,House,,,,
31,1,"Kilimanjaro Drive, Northpark",,31/Unit1,Kilimanjaro Drive,Northpark,2013,Auckland,At Home,Pass,-36.9216165,174.9197465,House,,,,
31,2,"Kilimanjaro Drive, Northpark",,31/Unit2,Kilimanjaro Drive,Northpark,2013,Auckland,At Home,Pass,-36.9216165,174.9197465,House,,,,
32,,"Oakridge Way, Northpark",,32,Oakridge Way,Northpark,2013,Auckland,At Home,Pass,-36.9193205,174.9208051,House,,,,
30,,"Oakridge Way, Northpark",,30,Oakridge Way,Northpark,2013,Auckland,At Home,Pass,-36.9190405,174.9209435,House,,,,
11,,"Bampton Rise, Northpark",,11,Bampton Rise,Northpark,2013,Auckland,At Home,Pass,-36.9242955,174.9202811,House,,,,
11,,"Bampton Rise, Northpark",,11,Bampton Rise,Northpark,2013,Auckland,At Home,Pass,-36.9242955,174.9202811,House,,,,
10,A,"Fencotie Place, Northpark",,10/UnitA,Fencotie Place,Northpark,2013,Auckland,At Home,Pass,-36.9273383,174.9133632,House,,,,
8,,"Camerton Close, Northpark",,8,Camerton Close,Northpark,2013,Auckland,At Home,Pass,-36.9232424,174.9184891,House,,,,
8,,"Camerton Close, Northpark",,8,Camerton Close,Northpark,2013,Auckland,At Home,Pass,-36.9232424,174.9184891,House,,,,
109,,"Millhouse Drive, Northpark",,109,Millhouse Drive,Northpark,2013,Auckland,At Home,Pass,-36.9183397,174.9178792,House,,,,
116,,"Millhouse Drive, Northpark",,116,Millhouse Drive,Northpark,2013,Auckland,At Home,Pass,-36.9180811,174.9184659,House,,,,
15,,"Arrathorne Place, Northpark",,15,Arrathorne Place,Northpark,2013,Auckland,At Home,Pass,-36.92458172,174.9148806,House,,,,
6,,"Tarnica Road, Northpark",,6,Tarnica Road,Northpark,2013,Auckland,At Home,Pass,-36.9229429,174.9199707,House,,,,
8,,"Pajaro Place, Golflands",,8,Pajaro Place,Golflands,2013,Auckland,At Home,Pass,-36.9191437,174.9144989,House,,,,
17,,"Ashby Avenue, Saint Heliers",,17,Ashby Avenue,Saint Heliers,1071,Auckland,At Home,Pass,-36.8638688,174.8574072,House,,,,
6,,"Perendale Close, Somerville",,6,Perendale Close,Somerville,2014,Auckland,At Home,Pass,-36.9182785,174.9294953,House,,,,
2,,"Te Whitinga Lane, Flat Bush",,2,Te Whitinga Lane,Flat Bush,2016,Auckland,At Home,Pass,-36.9662007,174.9059667,House,,,,
12,,"Koropiko Lane, Flat Bush",,12,Koropiko Lane,Flat Bush,2016,Auckland,At Home,Pass,-36.9659367,174.9058154,House,,,,
23,,"Triumph Road, Flat Bush",,23,Triumph Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9660243,174.9045658,House,,,,
7,,"Mark Carter Place, Flat Bush",,7,Mark Carter Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9669195,174.9031066,House,,,,
6,,"Mark Carter Place, Flat Bush",,6,Mark Carter Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9670536,174.903306,House,,,,
14,,"Mark Carter Place, Flat Bush",,14,Mark Carter Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9675682,174.9031077,House,,,,
12,,"Mark Carter Place, Flat Bush",,12,Mark Carter Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9675189,174.9033692,House,,,,
123,,"Whitford Road, Somerville",,123,Whitford Road,Somerville,2014,Auckland,At Home,Pass,-36.9149212,174.9281761,House,,,,
2,,"San Luis Place, Golflands",,2,San Luis Place,Golflands,2013,Auckland,At Home,Pass,-36.923059,174.904955,House,,,,
