Old Number,Unit,Old Street,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Status,Final Status,Latitude,Longitude,Type,Language,Notes,Other Notes,Missing Fields
1,,"Saint Maron Rise, The Gardens",,,Saint Maroun Rise,The Gardens,2105,Auckland,Custom3,Fail,-37.00226065,174.92283230,House,,"Please refer to ""New Streets"" for more information",Fail: Street+Suburb does not match Old Street,Number
9,,"Eastfield Avenue, Flat Bush",,9,Eastfield Avenue,Flat Bush,2016,Auckland,At Home,Duplicate,-36.97622860,174.90882960,House,,,,
68,,"Donegal Park Drive, Flat Bush",,68,Donegal Park Drive,Flat Bush,2016,Auckland,At Home,Duplicate,-36.97477090,174.90812520,House,,,,
59,,"Malahide Drive, Flat Bush",,59,Malahide Drive,Flat Bush,2016,Auckland,At Home,Duplicate,-36.96113400,174.91879750,House,Cantonese,,,
80,,"Bob Charles Drive, Golflands",,80,Bob Charles Drive,Golflands,2013,Auckland,At Home,Duplicate,-36.92446670,174.91188080,House,,,,
8,A,"Oakridge Way, Northpark",,8/UnitA,Oakridge Way,Northpark,2013,Auckland,At Home,Duplicate,-36.91906610,174.92310480,House,,,,
2,,"Wiltshire Place, Somerville",,2,Wiltshire Place,Somerville,2014,Auckland,At Home,Duplicate,-36.91873090,174.93165310,House,,,,
11,,"Woolaston Place, Flat Bush",,11,Woolaston Place,Flat Bush,2016,Auckland,At Home,Duplicate,-36.96156280,174.93520680,House,,,,
22,,"Triumph Road, Flat Bush",,22,Triumph Road,Flat Bush,2016,Auckland,At Home,Duplicate,-36.96584650,174.90475930,House,,,,
31,,"Jane Eyre Drive, Somerville",,31,Jane Eyre Drive,Somerville,2014,Auckland,At Home,Duplicate,-36.91509210,174.93624900,House,,,,
25,B,"Woodgers Way, Somerville",,25/UnitB,Woodgers Way,Somerville,2014,Auckland,At Home,Duplicate,-36.91190770,174.94114540,House,,,,
18,,"Copperfield Terrace, Mellons Bay",,18,Copperfield Terrace,Mellons Bay,2012,Auckland,At Home,Duplicate,-36.88455550,174.92219390,House,,,,
51,,"Michael Jones Drive, Flat Bush",,51,Michael Jones Drive,Flat Bush,2016,Auckland,At Home,Duplicate,-36.96740380,174.90259280,House,,,,
34,,"Lewisham Street, Highland Park",,34,Lewisham Street,Highland Park,2010,Auckland,At Home,Duplicate,-36.90877650,174.90804310,House,,,,
60,2,"La Trobe Street, Pakuranga Heights",,60/Unit2,La Trobe Street,Pakuranga Heights,2010,Auckland,At Home,Duplicate,-36.91736820,174.88997210,House,Cantonese,,,
8,E,"Nedlands Place, Burswood",,8/UnitE,Nedlands Place,Burswood,2013,Auckland,At Home,Duplicate,-36.92403520,174.90170060,House,,,,
12,,"Kerrykeel Drive, Flat Bush",,12,Kerrykeel Drive,Flat Bush,2016,Auckland,At Home,Duplicate,-36.96983490,174.91566980,House,,,,
42,,"Kauri Drive, Takanini",,42,Kauri Drive,Takanini,2112,Auckland,At Home,Duplicate,-37.04630450,174.93186360,House,,,,
5,,"Ascent Street, Flat Bush",,5,Ascent Street,Flat Bush,2016,Auckland,At Home,Duplicate,-36.98411620,174.92692930,House,,,,
14,,"Lewis Road, Pakuranga",,14,Lewis Road,Pakuranga,2010,Auckland,At Home,Duplicate,-36.91187220,174.87804050,House,,,,
21,2,"Ayr Road, Pakuranga",,21/Unit2,Ayr Road,Pakuranga,2010,Auckland,At Home,Duplicate,-36.91236570,174.87696460,House,,,,
35,,"Udys Road, Pakuranga",,35,Udys Road,Pakuranga,2010,Auckland,At Home,Duplicate,-36.91093400,174.88387270,House,,,,
1,,"Zelda Avenue, Clover Park",,1,Zelda Avenue,Clover Park,2023,Auckland,At Home,Duplicate,-36.97753160,174.89458700,House,,,,
